Run,ADC,ChannelName,HWChannel,Mean,MeanError,RMS,Entries
1307,ADC01,tq01_r1,0,1.771,0.000154309,0.0157002,10353
1307,ADC01,tq01_r2,1,1.80022,0.000160897,0.0163704,10353
1307,ADC01,tq01_r3,2,1.78669,0.000156736,0.0159471,10353
1307,ADC01,tq01_r4,3,1.81085,0.000159183,0.0161961,10353
1307,ADC01,tq01_r5l,4,1.8051,0.000158219,0.0160979,10353
1307,ADC01,tq01_r5c,5,1.84997,0.000168163,0.0171097,10353
1307,ADC01,tq01_r5r,6,1.8045,0.000157155,0.0159897,10353
1307,ADC01,tq01_r6,7,1.79136,0.000161634,0.0164454,10353
1307,ADC01,tq02_r1,8,1.8156,0.000157528,0.0160276,10353
1307,ADC01,tq02_r2,9,1.80893,0.000162008,0.0164835,10353
1307,ADC01,tq02_r3,10,1.77343,0.000156871,0.0159608,10353
1307,ADC01,tq02_r4,11,1.81502,0.000160565,0.0163366,10353
1307,ADC01,tq02_r5l,12,1.82866,0.000163094,0.016594,10353
1307,ADC01,tq02_r5c,13,1.80278,0.000160851,0.0163658,10353
1307,ADC01,tq02_r5r,14,1.80375,0.000161363,0.0164179,10353
1307,ADC01,tq02_r6,15,1.8242,0.000159196,0.0161973,10353
1307,ADC02,tq03_r1,0,1.76943,0.000156158,0.0158882,10353
1307,ADC02,tq03_r2,1,1.78486,0.000158658,0.0161426,10353
1307,ADC02,tq03_r3,2,1.79963,0.00015784,0.0160594,10353
1307,ADC02,tq03_r4,3,1.79539,0.000161159,0.0163971,10353
1307,ADC02,tq03_r5l,4,1.79947,0.000156839,0.0159576,10353
1307,ADC02,tq03_r5c,5,1.83921,0.000161421,0.0164237,10353
1307,ADC02,tq03_r5r,6,1.87257,0.000161325,0.016414,10353
1307,ADC02,tq03_r6,7,1.8778,0.00016396,0.0166821,10353
1307,ADC02,tq04_r1,8,1.80046,0.000160137,0.0162931,10353
1307,ADC02,tq04_r2,9,1.79357,0.000156222,0.0158948,10353
1307,ADC02,tq04_r3,10,1.77317,0.000155774,0.0158492,10353
1307,ADC02,tq04_r4,11,1.79624,0.000156273,0.0159,10353
1307,ADC02,tq04_r5l,12,1.80738,0.000161101,0.0163912,10353
1307,ADC02,tq04_r5c,13,1.78569,0.000156966,0.0159705,10353
1307,ADC02,tq04_r5r,14,1.82532,0.000159729,0.0162516,10353
1307,ADC02,tq04_r6,15,1.80294,0.000157193,0.0159936,10353
1307,ADC03,tq05_r1,0,1.80886,0.000159904,0.0162693,10353
1307,ADC03,tq05_r2,1,1.78802,0.000159018,0.0161792,10353
1307,ADC03,tq05_r3,2,1.79457,0.000158747,0.0161517,10353
1307,ADC03,tq05_r4,3,2.04842,0.000171894,0.0174893,10353
1307,ADC03,tq05_r5l,4,1.79499,0.000161202,0.0164015,10353
1307,ADC03,tq05_r5c,5,1.75584,0.000154409,0.0157103,10353
1307,ADC03,tq05_r5r,6,1.81551,0.000160354,0.0163152,10353
1307,ADC03,tq05_r6,7,1.85861,0.000163286,0.0166135,10353
1307,ADC03,tq06_r1,8,1.80167,0.000158459,0.0161223,10353
1307,ADC03,tq06_r2,9,1.79357,0.000159458,0.016224,10353
1307,ADC03,tq06_r3,10,1.78473,0.000157533,0.0160281,10353
1307,ADC03,tq06_r4,11,1.8399,0.000158119,0.0160877,10353
1307,ADC03,tq06_r5l,12,1.85321,0.000162316,0.0165148,10353
1307,ADC03,tq06_r5c,13,1.77905,0.000159921,0.0162712,10353
1307,ADC03,tq06_r5r,14,1.7788,0.00015606,0.0158783,10353
1307,ADC03,tq06_r6,15,1.76639,0.000156242,0.0158968,10353
1307,ADC04,tq07_r1,0,1.87155,0.000162886,0.0165728,10353
1307,ADC04,tq07_r2,1,1.7977,0.000166023,0.016892,10353
1307,ADC04,tq07_r3,2,1.81649,0.000159352,0.0162132,10353
1307,ADC04,tq07_r4,3,1.78725,0.000155801,0.015852,10353
1307,ADC04,tq07_r5l,4,1.81743,0.000158798,0.0161569,10353
1307,ADC04,tq07_r5c,5,1.79246,0.000160114,0.0162908,10353
1307,ADC04,tq07_r5r,6,1.75857,0.000155376,0.0158087,10353
1307,ADC04,tq07_r6,7,2.00983,0.000171068,0.0174053,10353
1307,ADC04,tq08_r1,8,1.95859,0.000168548,0.0171489,10353
1307,ADC04,tq08_r2,9,1.80868,0.000162582,0.0165419,10353
1307,ADC04,tq08_r3,10,2.17229,0.000179995,0.0183136,10353
1307,ADC04,tq08_r4,11,1.82008,0.000162871,0.0165713,10353
