Channel,BaselineMean,BaselineRMS,RMSMean,RMSRMS,Entries
tq03_r1,-48214.3,0.233144,1.71163,0.0143677,215869
tq03_r2,-43396.8,0.220915,1.74005,0.0145579,215869
tq03_r3,-48084.8,0.24784,1.72551,0.0144471,215869
tq03_r4,-43783.4,0.230681,1.78306,0.0152482,215869
tq03_r5l,-43469.5,0.20689,1.78863,0.0152404,215869
tq03_r5c,-43694.2,0.211222,1.82933,0.0154853,215869
tq03_r5r,-43529.6,0.208618,1.8651,0.0156747,215869
tq03_r6,-43510.3,0.195585,1.87113,0.0156309,215869
tq04_r1,-43641.9,0.197027,1.78821,0.0153617,215869
tq04_r2,-43421.2,0.187473,1.7823,0.0151523,215869
tq04_r3,-43699.3,0.197992,1.76371,0.0150059,215869
tq04_r4,-43904.6,0.197911,1.79076,0.0151722,215869
tq04_r5l,-43892.8,0.216869,1.79485,0.0153757,215869
tq04_r5c,-43493.2,0.197174,1.77367,0.0149923,215869
tq04_r5r,-43730.6,0.223464,1.82183,0.0153237,215869
tq04_r6,-43732.4,0.195524,1.79155,0.0151718,215869
