Run,Channel,Entries,Mean,MeanError,RMS,Min,Max
1307,tq21_r5r,10353,1.72299,0.000143422,0.0145931,1.67271,1.77899
1307,tq21_r6,10353,1.67472,0.000136812,0.0139206,1.62518,1.72055
1307,tq22_r1,10353,1.69414,0.000142849,0.0145348,1.63937,1.74806
1307,tq22_r2,10353,1.66179,0.000138819,0.0141248,1.60396,1.71177
1307,tq22_r3,10353,1.66095,0.000136888,0.0139283,1.61135,1.715
1307,tq22_r4,10353,1.75384,0.000147567,0.0150149,1.70158,1.80855
1307,tq22_r5l,10353,1.70834,0.000142131,0.0144618,1.64603,1.76279
1307,tq22_r5c,10353,1.76754,0.000148277,0.0150872,1.71173,1.82562
1307,tq22_r5r,10353,1.73781,0.00014378,0.0146296,1.6873,1.79245
1307,tq22_r6,10353,1.66871,0.000138651,0.0141077,1.60898,1.72261
1307,tq23_r1,10353,1.65783,0.000137966,0.014038,1.60577,1.70998
1307,tq23_r2,10353,1.69717,0.000141263,0.0143735,1.63763,1.74894
1307,tq23_r3,10353,2.03731,0.000160064,0.0162864,1.97462,2.10211
1307,tq23_r4,10353,1.65121,0.00013795,0.0140364,1.59973,1.70264
1307,tq23_r5l,10353,1.73812,0.0001419,0.0144382,1.68312,1.79576
1307,tq23_r5c,10353,1.69406,0.000139266,0.0141703,1.64145,1.74396
1307,tq23_r5r,10353,1.67336,0.000139634,0.0142077,1.61557,1.72556
1307,tq23_r6,10353,1.66859,0.000138602,0.0141027,1.60753,1.72941
1307,tq24_r1,10353,1.73648,0.00014303,0.0145532,1.67609,1.79614
1307,tq24_r2,10353,1.72696,0.000145256,0.0147797,1.669,1.78018
1307,tq24_r3,10353,1.76156,0.000145141,0.0147681,1.70594,1.8177
1307,tq24_r4,10353,1.71501,0.00014234,0.014483,1.65365,1.76678
1307,tq24_r5l,10353,1.70496,0.000144972,0.0147508,1.65134,1.75764
1307,tq24_r5c,10353,1.66325,0.000138692,0.0141119,1.61203,1.71655
1307,tq24_r5r,10353,1.68257,0.000140264,0.0142718,1.63114,1.73625
1307,tq24_r6,10353,1.69893,0.000142177,0.0144665,1.64181,1.75587
1307,tq25_r1,10353,1.74027,0.000142894,0.0145394,1.68889,1.79927
1307,tq25_r2,10353,1.66926,0.000139268,0.0141704,1.61906,1.72082
1307,tq25_r3,10353,1.70611,0.000142448,0.014494,1.6511,1.76179
1307,tq25_r4,10353,1.70743,0.00014285,0.014535,1.65072,1.76201
1307,tq25_r5l,10353,1.6993,0.000142697,0.0145193,1.64926,1.75151
1307,tq25_r5c,10353,1.70004,0.00014063,0.0143091,1.64153,1.75588
1307,tq25_r5r,10353,1.67276,0.000139603,0.0142046,1.61938,1.72403
1307,tq25_r6,10353,1.66534,0.000139997,0.0142446,1.60945,1.72474
1307,tq26_r1,10353,1.6999,0.000141555,0.0144032,1.64309,1.75002
1307,tq26_r2,10353,1.69813,0.000141641,0.0144119,1.64449,1.7549
1307,tq26_r3,10353,1.68239,0.000140152,0.0142604,1.61072,1.73996
